time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.115243401e-07,1.68635090833e-06,10.0079259054,0.00092792238707,6.28299624312,0.0,1.45324997236e-05,0.000128275121853,0.264172611892,0.0357471262381,-0.0103455996855,0.0,486.87284786561753,486.09839873990546,484.59392557077456,487.27308710300787
0.12000000000000001,6.3794231802e-06,3.49461829508e-05,10.0242522163,0.00419664258673,6.28251901303,0.0,0.000243213257503,0.00123575709384,0.280033338967,0.0774435829896,-0.0035545564208,0.0,408.9962374697034,409.60063190178965,407.674915416987,411.3850212003864
0.18,3.62174659273e-05,0.000217658877781,10.0448794564,0.00872057551812,6.28202224664,0.0,0.000786637155618,0.00534124497727,0.407501002381,0.0709618782848,-0.0199767363564,0.0,446.0825179174226,444.73979757105394,446.12098834246797,445.5959575138382
0.23999999999999996,0.000120140412634,0.000794191122657,10.0786075635,0.0128812748886,6.28121345439,0.0,0.002140847865,0.0144351353419,0.716621304236,0.065899384446,-0.00291289943393,0.0,498.5016479334079,499.7469060499272,499.24297218586787,498.87658396723265
0.3,0.00029115724369,0.00195027849691,10.1252462618,0.0168437647569,6.28117232251,0.0,0.00357055046306,0.0245162222533,0.837914394964,0.0663240811163,0.00343387013631,0.0,443.4023164189558,443.92335934205784,444.66133783094426,444.6993585007752
0.36000000000000004,0.000546654682053,0.00378942483621,10.1787896945,0.0210567783162,6.28145703528,0.0,0.00492038336585,0.0372113284327,0.946774535998,0.077041521404,0.00724686713106,0.0,440.18678422117404,440.5020828834017,440.14807370073197,441.0378197732005
0.4200000000000001,0.000880136175098,0.00653415094183,10.2413057852,0.0255934070828,6.28211580653,0.0,0.00613128024446,0.0548041587371,1.13691303083,0.0725845787964,0.017558713351,0.0,466.25420837179416,467.0589186384188,464.70941976410313,464.3641944400696
0.48000000000000015,0.00126829880406,0.0104317641992,10.314942207,0.0298993685052,6.28299974964,0.0,0.00669610672756,0.0756044821055,1.31742973222,0.0700774431513,0.00837747917396,0.0,463.2031663285581,462.4805516947174,463.4906183875795,463.2972944400481
0.5400000000000001,0.00167228768366,0.0156717893532,10.3992603152,0.0342477507904,9.30208501071e-05,0.0,0.00672446030828,0.0995406760555,1.49294484573,0.0768765073321,-0.00413020292753,0.0,462.6494360320573,461.6636239311577,461.6910980275665,462.23099956519303
0.6000000000000002,0.00207382509828,0.0222705705349,10.4889908532,0.0396531837571,0.000720082788135,0.0,0.00663491795188,0.12086595209,1.4980489303,0.108283927572,0.0299404511621,0.0,406.15338077297366,409.19741111739404,407.0988804420723,409.90644312192217
0.6600000000000003,0.00244578199159,0.0305398110861,10.586106527,0.0457949058973,0.00221222587628,0.0,0.00555859869208,0.155542153539,1.73877017531,0.0866181290409,0.0120648106861,0.0,482.40430347461944,481.05277494410603,482.7703547510156,481.1409767798718
0.7200000000000003,0.00273115230617,0.0408245828324,10.6931249431,0.0512698251552,0.00241481668609,0.0,0.00389521793919,0.18781363907,1.82834234969,0.0991871750702,-0.0262071509548,0.0,438.84782913797017,435.6596910229255,435.8451287884122,436.9013688764487
0.7800000000000004,0.00291593240125,0.0533014588196,10.8082227342,0.0569409024741,0.000630901725247,0.0,0.0024546422466,0.228729142637,2.00791294145,0.0830054376199,-0.0379241673121,0.0,465.97823766321335,465.06119242519674,465.08910765840653,463.8271406638033
0.8400000000000004,0.00305898599982,0.0682140386961,10.9315696986,0.0620726608632,6.28135970842,0.0,0.00255317631482,0.268858217635,2.10344587829,0.090148643091,-0.0477852140819,0.0,440.87246925747365,440.05607166470145,438.86707766756973,439.4656383915075
0.9000000000000005,0.00326475455298,0.0857518843523,11.0624005194,0.0672931208639,6.27852268671,0.0,0.00461924236306,0.316301514925,2.25724466652,0.0798458043192,-0.0462993790956,0.0,457.9693340392546,458.0862224039204,459.1010216007948,458.2888412773045
0.9600000000000005,0.00365476500955,0.106215584252,11.2019436234,0.0715487384137,6.27583509953,0.0,0.00867363995116,0.366300482922,2.39387084519,0.039614973272,-0.0419398674109,0.0,454.3333789716091,454.681651839598,454.7417273915478,451.511022522866
1.0200000000000005,0.00435951239753,0.129909475087,11.3517287218,0.0742633887468,6.27454257153,0.0,0.015019174679,0.423761287852,2.5984889683,0.0546226437638,0.00266735266096,0.0,473.7503632019788,477.16750541125305,473.7988994746814,474.95229954405664
1.0800000000000005,0.00542199373368,0.156744898212,11.5088054853,0.0773052944846,6.27564585272,0.0,0.0203269776817,0.471036981565,2.6372825646,0.0413950864989,0.0388927099755,0.0,422.64954166131736,425.7602336939843,425.1943343537535,424.0613476957353
1.1400000000000006,0.00681488195452,0.186903876365,11.6737456869,0.0806747944629,6.27830015775,0.0,0.0257961425228,0.534579138594,2.86015156635,0.0758077010582,0.0532171408619,0.0,480.64537892830816,481.73066467304466,480.470519596586,483.07407661573603
1.2000000000000006,0.0084458447263,0.220552484269,11.8470067302,0.0853971782357,6.28148230863,0.0,0.0282637196337,0.58746669106,2.91502790396,0.0839482429242,0.0526709150772,0.0,430.90485049667666,430.86061229576586,431.2106579933895,431.9029193020864
1.2600000000000007,0.0101631942063,0.257495679997,12.0238927083,0.0905021545751,0.00189339190193,0.0,0.0286493363956,0.644443652444,2.98094124939,0.0872594886652,0.0715135374643,0.0,435.54109391011104,437.11671243120986,433.9389979335639,434.2230018364794
